0,0,0,0,0,0,0,0,0,0,0,0,441,475,471,441,475,471,472,551,473,475,471,473,631,603,601,586,517,598,594,593,624,514,653,640,775,768,784,769,767,771,773,774,768,695,787,759,1014,1022,1084,1000,1018,1014,1014,1014,972,1016,1015,1109,797,826,827,797,826,827,829,827,829,826,827,829,
0,0,0,0,0,0,0,0,0,0,0,0,1308,1263,1264,1308,1263,1264,1266,1264,1266,1263,1264,1266,666,646,637,652,529,633,663,664,665,529,672,657,797,800,833,807,825,789,794,796,797,796,797,796,1097,1101,1179,1095,1138,1107,1100,1099,1102,1097,1097,1153,1590,1620,1620,1590,1620,1620,1623,1620,1622,1620,1620,1622,
0,0,0,0,0,0,0,0,0,0,0,0,2107,2062,2062,2107,2062,2062,2064,2136,2064,2062,2062,2064,698,664,668,1265,734,730,698,698,700,668,699,714,827,831,888,846,851,827,826,826,828,827,828,826,1174,1183,1219,1196,1195,1192,1178,1173,1173,1180,1170,1185,2396,2423,2424,2396,2423,2424,2426,2424,2426,2423,2424,2426,
0,0,0,0,0,0,0,0,0,0,0,0,2911,2865,2866,2911,2865,2866,2868,2940,2868,2865,2866,2868,1502,702,1389,1331,1273,1397,1387,1387,1418,1373,1438,1392,895,923,980,895,874,853,854,856,871,897,892,952,1873,1806,1892,1679,1807,1807,1807,1807,1809,1787,1807,2099,3198,3227,3228,3198,3227,3228,3230,3228,3230,3227,3228,3230,
0,0,0,0,0,0,0,0,0,0,0,0,3716,3672,3672,3716,3672,3672,3674,3672,3674,3672,3672,3674,1574,1391,1434,2222,1458,1424,1455,1457,1458,1380,1461,1433,948,947,998,999,928,874,948,949,1562,965,945,1550,2008,1905,1967,1770,1934,1896,1895,1894,1894,1893,1890,2606,4006,4036,4036,4006,4036,4036,4038,4036,4038,4036,4036,4038,
0,0,0,0,0,0,0,0,0,0,0,0,4526,4482,4482,4526,4482,4482,4484,4482,4484,4482,4482,4484,1607,1433,1456,2266,2073,1523,1523,1523,1493,1439,1491,1450,1683,1555,1547,1433,955,918,1567,1567,1591,1489,1549,1585,2082,1978,2008,1875,1988,1987,1974,1968,1967,1983,1958,2742,4818,4847,4848,4818,4847,4848,4850,4848,4849,4847,4848,4849,
0,0,0,0,0,0,0,0,0,0,0,0,5332,5287,5288,5332,5287,5288,5290,5288,5289,5287,5288,5289,2094,1455,2187,2289,2257,2136,2238,2200,2221,2161,2245,1491,1706,1587,1625,1440,1559,951,1587,1589,1621,1589,1591,1619,2437,2609,2692,2605,2637,2666,2607,2577,2607,2618,2606,2812,5618,5647,5647,5618,5647,5647,5650,5647,5649,5647,5647,5649,
0,-21.1800526536968,-21.1800526536968,0,0,0,0,0,0,10.5900263268484,10.5900263268484,-21.1800526536968,6130,6084,6085,6130,6084,6085,6087,6160,6086,6084,6085,6086,2138,1490,2210,3071,2871,2382,2279,2260,2261,2173,2267,2195,1736,1620,1680,1484,1572,1564,1619,1619,1683,1620,1620,1748,2568,2707,2765,2687,2735,2763,2744,2699,2701,2699,2693,3469,6413,6442,6443,6413,6442,6443,6444,6444,6444,6442,6443,6444,
0,-57.4428938539301,-57.4428938539301,0,0,0,0,0,0,28.721446926965,28.721446926965,-57.4428938539301,6838,6868,6869,6838,6868,6869,6870,6870,6870,6868,6869,6870,2161,2190,2235,3117,3092,3022,2366,2321,2323,2206,2290,2237,1766,1708,1770,1523,1619,1577,1647,1649,1738,1693,1682,2357,2643,2777,2806,2769,2792,2853,2828,2776,2771,2782,2762,3545,7184,7214,7215,7184,7214,7215,7215,7216,7217,7214,7215,7217,
0,-70.881984784739,-70.881984784739,0,0,-3.47317245014614,0,0,0,35.4409923923695,35.4409923923695,-70.881984784739,7604,7634,7636,7604,7634,7636,7636,7636,7637,7634,7636,7637,3019,2236,2318,3138,3819,3060,3021,3012,3027,2899,3106,2267,1797,2365,1799,1572,1644,1620,1741,1742,2366,1759,1736,2392,3409,3409,3405,3454,3418,3405,3422,3376,3411,3378,3469,3546,7944,7974,7976,7944,7974,7976,7977,7976,7977,7974,7976,7977,
